55 48 89 e5 48 83 ec 18
48 c7 45 f8 4f 00 00 00
48 b8 15 4f e7 4b 01 00
00 00 48 89 45 f0 48 c7
45 e8 04 00 00 00 48 c7
45 e0 03 00 00 00 48 c7
45 d8 13 00 00 00 48 c7
45 d0 15 01 00 00 48 b8
61 5b 64 4b cf 77 00 00
48 89 45 c8 48 c7 45 c0
02 00 00 00 48 c7 45 b8
11 00 00 00 48 c7 45 b0
c1 21 00 00 48 c7 45 a8
e9 65 22 18 48 c7 45 a0
33 08 00 00 48 c7 45 98
ab 0a 00 00 48 c7 45 90
ad aa 8d 00 48 8b 45 f8
48 0f af 45 f0 48 89 45
88 48 8b 45 e8 48 0f af
45 e0 48 0f af 45 d8 48
0f af 45 d0 48 0f af 45
c8 48 89 45 80 48 8b 45
c0 48 0f af 45 b8 48 0f
af 45 b0 48 0f af 45 a8
48 89 85 78 ff ff ff 48
8b 45 a0 48 0f af 45 98
48 0f af 45 90 48 89 85
70 ff ff ff b8 00 00 00
00 c9
