Year	Event	Category	Challenge
2017	Finals	Crypto	ECXOR
2017	Finals	Crypto	Lupin
2017	Finals	Forensics	thoroughlyStripped
2017	Finals	Pwn	Humm_sCh-t
2017	Finals	Reversing	rabbithole
2017	Finals	Reversing	48-bit_yeet_lab
2017	Finals	Reversing	rusty_road
2017	Quals	Crypto	almost_xor
2017	Quals	Crypto	another_xor
2017	Quals	Crypto	baby_crypt
2017	Quals	Forensics	missed_registration
2017	Quals	Forensics	best_router
2017	Quals	Misc	cvv
2017	Quals	Misc	serial
2017	Quals	Pwn	pilot
2017	Quals	Pwn	zone
2017	Quals	Reversing	bananascript
2017	Quals	Reversing	realism
2017	Quals	Reversing	tablez
2017	Quals	Reversing	gopherz
2017	Quals	Reversing	grumpcheck
2017	Quals	Reversing	prophecy
2017	Quals	Web	notmycupofcoffe
2017	Quals	Web	orange
2017	Quals	Web	orangev2
2017	Quals	Web	littlequery
2018	Finals	Crypto	asr4cr
2018	Finals	Crypto	lost_mind
2018	Finals	Crypto	distastrous_security_apparatus
2018	Finals	Misc	leaked_flag
2018	Finals	Misc	showdown
2018	Finals	Pwn	ES1337
2018	Finals	Reversing	1nsayne
2018	Finals	Reversing	bdos
2018	Finals	Reversing	free_as_in_freedom
2018	Quals	Crypto	babycrypto
2018	Quals	Crypto	collusion
2018	Quals	Crypto	lowe
2018	Quals	Crypto	flatcrypt
2018	Quals	Forensics	simple-recovery
2018	Quals	Forensics	whyOS
2018	Quals	Misc	Short-Circuit
2018	Quals	Misc	algebra
2018	Quals	Misc	bin_t
2018	Quals	Pwn	get_it?
2018	Quals	Pwn	bigboy
2018	Quals	Pwn	shellpointcode
2018	Quals	Reversing	A-Walk-Through-x86-Part-2
2018	Quals	Reversing	kvm
2018	Quals	Reversing	A-Walk-Through-x86-Part-1
2019	Finals	Crypto	macrypto
2019	Finals	Misc	alive
2019	Finals	Pwn	arevenge
2019	Finals	Reversing	mystery_boi
2019	Finals	Reversing	steady_counting
2019	Finals	Reversing	wrangly
2019	Finals	Web	biometric
2019	Quals	Crypto	DES2Bites
2019	Quals	Crypto	brillouin
2019	Quals	Crypto	byte_me
2019	Quals	Crypto	count_on_me
2019	Quals	Crypto	super_curve
2019	Quals	Pwn	baby_boi
2019	Quals	Pwn	got_milk
2019	Quals	Pwn	popping_caps
2019	Quals	Pwn	popping_caps_2
2019	Quals	Pwn	pop_goes_the_printer
2019	Quals	Pwn	small_boi
2019	Quals	Pwn	traveller
2019	Quals	Reversing	beleaf
2019	Quals	Reversing	call_site
2019	Quals	Reversing	gibberish_check
2019	Quals	Reversing	halfpike
2019	Quals	Reversing	wizkid
2020	Finals	Crypto	eccentric
2020	Finals	Crypto	hybrid2
2020	Finals	Crypto	jackpot
2020	Finals	Crypto	the_matrix
2020	Finals	Pwn	darkunion1
2020	Finals	Reversing	brrr
2020	Finals	Reversing	rap
2020	Finals	Reversing	sourcery
2020	Finals	Reversing	yeet
2020	Finals	Web	picgram
2020	Finals	Web	sharkfacts
2020	Finals	Web	snailrace1
2020	Quals	Crypto	adversarial
2020	Quals	Crypto	authy
2020	Quals	Crypto	difib
2020	Quals	Crypto	modus_operandi
2020	Quals	Crypto	perfect_secrecy
2020	Quals	Crypto	smallsurp
2020	Quals	Pwn	blox2
2020	Quals	Pwn	feather
2020	Quals	Pwn	grid
2020	Quals	Pwn	pwnvoltex
2020	Quals	Pwn	roppity
2020	Quals	Pwn	slithery
2020	Quals	Pwn	thebardsfail
2020	Quals	Reversing	baby_mult
2020	Quals	Reversing	ezbreezy
2020	Quals	Reversing	not_malware
2020	Quals	Web	whistleblow
2021	Finals	Crypto	Collision-Course
2021	Finals	Crypto	Interoperable
2021	Finals	Crypto	iBad
2021	Finals	Forensics	No-Time-to-Register
2021	Finals	Forensics	constela
2021	Finals	Misc	terminal-velocity
2021	Finals	Pwn	chatterbox
2021	Finals	Pwn	horrorscope
2021	Finals	Reversing	maze
2021	Finals	Reversing	sfc
2021	Quals	Crypto	Bits
2021	Quals	Crypto	Crack-Me
2021	Quals	Crypto	ECC-Pop-Quiz
2021	Quals	Crypto	Forgery
2021	Quals	Crypto	Gotta-Decrypt-Them-All
2021	Quals	Crypto	RSA-Pop-Quiz
2021	Quals	Forensics	Lazy-Leaks
2021	Quals	Misc	Save-the-Tristate
2021	Quals	Misc	Weak-Password
2021	Quals	Pwn	Password-Checker
2021	Quals	Pwn	alien-math
2021	Quals	Pwn	haystack
2021	Quals	Pwn	krypto
2021	Quals	Reversing	checker
2021	Quals	Reversing	macomal
2021	Quals	Reversing	ncore
2021	Quals	Reversing	ransomware
2021	Quals	Web	gatekeeping
2021	Quals	Web	no-pass-needed
2021	Quals	Web	poem-collection
2021	Quals	Web	scp-terminal
2021	Quals	Web	securinotes
2022	Finals	Crypto	M@sTEr 0F PrN9
2022	Finals	Crypto	The Lengths we Extend Ourselves
2022	Finals	Crypto	open-ELLIPTI-PH!
2022	Finals	Crypto	polly-crack-this
2022	Finals	Misc	Farmlang
2022	Finals	Misc	SupEr GUeSsEr G@me
2022	Finals	Misc	eMbrEy0 LEaK
2022	Finals	Pwn	Salt Server
2022	Finals	Reversing	parallel vm
2022	Finals	Reversing	roulette
2022	Quals	Crypto	Beyond-Quantum
2022	Quals	Crypto	gift-shop
2022	Quals	Crypto	gotta-crack-them-all
2022	Quals	Crypto	not-too-taxing
2022	Quals	Crypto	too-much-in-common
2022	Quals	Misc	CatTheFlag
2022	Quals	Misc	ezMaze
2022	Quals	Misc	quantum-leap
2022	Quals	Pwn	ezROP
2022	Quals	Pwn	unsafe-linking
2022	Quals	Reversing	AnyaGacha
2022	Quals	Reversing	dockREleakage
2022	Quals	Reversing	game
2022	Quals	Reversing	the_big_bang
2023	Finals	Crypto	DescribeMe
2023	Finals	Crypto	Textbook-RSA
2023	Finals	Crypto	nervcenter
2023	Finals	Forensics	ancient-forensics
2023	Finals	Forensics	emoji
2023	Finals	Forensics	floating_points
2023	Finals	Forensics	forensings
2023	Finals	Forensics	hypokrinesthai
2023	Finals	Misc	pyjail
2023	Finals	Misc	sigmaslogistics
2023	Finals	Misc	urkel
2023	Finals	Misc	vectors_machine
2023	Finals	Pwn	Virtualization-pwn
2023	Finals	Pwn	brainflop
2023	Finals	Reversing	Virtualization
2023	Finals	Reversing	cell
2023	Finals	Reversing	unVirtualization
2023	Finals	Web	ShreeRamQuest
2023	Finals	Web	triathlon_or_sprint
2023	Quals	Crypto	circles
2023	Quals	Crypto	lottery
2023	Quals	Crypto	mental-poker
2023	Quals	Forensics	1black0white
2023	Quals	Forensics	Br3akTh3Vau1t
2023	Quals	Misc	TradingGame
2023	Quals	Misc	android-dropper
2023	Quals	Misc	linear_aggressor
2023	Quals	Pwn	my_first_pwnie
2023	Quals	Pwn	puffin
2023	Quals	Pwn	target_practice
2023	Quals	Pwn	unlimited_subway
2023	Quals	Reversing	baby's first
2023	Quals	Reversing	baby's third
2023	Quals	Reversing	rebug 1
2023	Quals	Reversing	rebug 2
2023	Quals	Reversing	rox
2023	Quals	Reversing	whataxor
2023	Quals	Web	cookie-injection
2023	Quals	Web	Philanthropy
2023	Quals	Web	rainbow-notes
